[2024-12-28T16:21:49.165+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-28T16:21:51.728+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_pipeline.parse_genre manual__2024-12-27T11:38:32.797674+00:00 [queued]>
[2024-12-28T16:21:51.760+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: movie_pipeline.parse_genre manual__2024-12-27T11:38:32.797674+00:00 [queued]>
[2024-12-28T16:21:51.762+0000] {taskinstance.py:2866} INFO - Starting attempt 2 of 2
[2024-12-28T16:21:51.829+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): parse_genre> on 2024-12-27 11:38:32.797674+00:00
[2024-12-28T16:21:51.877+0000] {standard_task_runner.py:72} INFO - Started process 15691 to run task
[2024-12-28T16:21:51.980+0000] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'movie_pipeline', 'parse_genre', 'manual__2024-12-27T11:38:32.797674+00:00', '--job-id', '100', '--raw', '--subdir', 'DAGS_FOLDER/pipeline_dag.py', '--cfg-path', '/tmp/tmpwpifyqvy']
[2024-12-28T16:21:52.094+0000] {standard_task_runner.py:105} INFO - Job 100: Subtask parse_genre
[2024-12-28T16:21:52.511+0000] {task_command.py:467} INFO - Running <TaskInstance: movie_pipeline.parse_genre manual__2024-12-27T11:38:32.797674+00:00 [running]> on host e0a3add0f1ca
[2024-12-28T16:21:52.886+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='movie_pipeline' AIRFLOW_CTX_TASK_ID='parse_genre' AIRFLOW_CTX_EXECUTION_DATE='2024-12-27T11:38:32.797674+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-27T11:38:32.797674+00:00'
[2024-12-28T16:22:42.211+0000] {parse.py:332} INFO - Iteration: 42 and movie_id: tt6133444
[2024-12-28T16:22:43.222+0000] {parse.py:332} INFO - Iteration: 43 and movie_id: tt6133444
[2024-12-28T16:22:43.987+0000] {parse.py:332} INFO - Iteration: 44 and movie_id: tt6133444
[2024-12-28T16:22:45.079+0000] {parse.py:332} INFO - Iteration: 45 and movie_id: tt6133444
[2024-12-28T16:22:45.847+0000] {parse.py:332} INFO - Iteration: 46 and movie_id: tt6133444
[2024-12-28T16:22:46.879+0000] {parse.py:332} INFO - Iteration: 47 and movie_id: tt30057084
[2024-12-28T16:22:47.710+0000] {parse.py:332} INFO - Iteration: 48 and movie_id: tt30057084
[2024-12-28T16:22:48.784+0000] {parse.py:332} INFO - Iteration: 49 and movie_id: tt30057084
[2024-12-28T16:22:49.684+0000] {parse.py:332} INFO - Iteration: 50 and movie_id: tt30057084
[2024-12-28T16:22:50.700+0000] {parse.py:332} INFO - Iteration: 51 and movie_id: tt30057084
[2024-12-28T16:22:51.462+0000] {parse.py:332} INFO - Iteration: 52 and movie_id: tt9218128
[2024-12-28T16:22:52.441+0000] {parse.py:332} INFO - Iteration: 53 and movie_id: tt9218128
[2024-12-28T16:22:53.474+0000] {parse.py:332} INFO - Iteration: 54 and movie_id: tt9218128
[2024-12-28T16:22:54.563+0000] {parse.py:332} INFO - Iteration: 55 and movie_id: tt9218128
[2024-12-28T16:22:55.351+0000] {parse.py:332} INFO - Iteration: 56 and movie_id: tt9218128
[2024-12-28T16:22:56.374+0000] {parse.py:332} INFO - Iteration: 57 and movie_id: tt9218128
[2024-12-28T16:22:57.483+0000] {parse.py:332} INFO - Iteration: 58 and movie_id: tt9218128
[2024-12-28T16:22:58.327+0000] {parse.py:332} INFO - Iteration: 59 and movie_id: tt9218128
[2024-12-28T16:22:59.399+0000] {parse.py:332} INFO - Iteration: 60 and movie_id: tt29137778
[2024-12-28T16:23:00.241+0000] {parse.py:332} INFO - Iteration: 61 and movie_id: tt29137778
[2024-12-28T16:23:01.247+0000] {parse.py:332} INFO - Iteration: 62 and movie_id: tt29137778
[2024-12-28T16:23:02.010+0000] {parse.py:332} INFO - Iteration: 63 and movie_id: tt8790086
[2024-12-28T16:23:03.062+0000] {parse.py:332} INFO - Iteration: 64 and movie_id: tt8790086
[2024-12-28T16:23:03.976+0000] {parse.py:332} INFO - Iteration: 65 and movie_id: tt8790086
[2024-12-28T16:23:04.960+0000] {parse.py:332} INFO - Iteration: 66 and movie_id: tt8790086
[2024-12-28T16:23:05.787+0000] {parse.py:332} INFO - Iteration: 67 and movie_id: tt14948432
[2024-12-28T16:23:06.885+0000] {parse.py:332} INFO - Iteration: 68 and movie_id: tt14948432
[2024-12-28T16:23:07.778+0000] {parse.py:332} INFO - Iteration: 69 and movie_id: tt14948432
[2024-12-28T16:23:08.807+0000] {parse.py:332} INFO - Iteration: 70 and movie_id: tt14948432
[2024-12-28T16:23:10.428+0000] {parse.py:332} INFO - Iteration: 71 and movie_id: tt14948432
[2024-12-28T16:23:11.335+0000] {parse.py:332} INFO - Iteration: 72 and movie_id: tt14948432
[2024-12-28T16:23:12.426+0000] {parse.py:332} INFO - Iteration: 73 and movie_id: tt14948432
[2024-12-28T16:23:13.278+0000] {parse.py:332} INFO - Iteration: 74 and movie_id: tt2347285
[2024-12-28T16:23:14.381+0000] {parse.py:332} INFO - Iteration: 75 and movie_id: tt2347285
[2024-12-28T16:23:15.161+0000] {parse.py:332} INFO - Iteration: 76 and movie_id: tt2347285
[2024-12-28T16:23:16.241+0000] {parse.py:332} INFO - Iteration: 77 and movie_id: tt2347285
[2024-12-28T16:23:17.176+0000] {parse.py:332} INFO - Iteration: 78 and movie_id: tt2347285
[2024-12-28T16:23:18.208+0000] {parse.py:332} INFO - Iteration: 79 and movie_id: tt2347285
[2024-12-28T16:23:19.174+0000] {parse.py:332} INFO - Iteration: 80 and movie_id: tt2347285
[2024-12-28T16:23:20.203+0000] {parse.py:332} INFO - Iteration: 81 and movie_id: tt14824600
