[2024-12-27T11:38:57.291+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-27T11:38:57.416+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page manual__2024-12-27T11:38:32.797674+00:00 [queued]>
[2024-12-27T11:38:57.775+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page manual__2024-12-27T11:38:32.797674+00:00 [queued]>
[2024-12-27T11:38:58.611+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 4
[2024-12-27T11:38:58.613+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 4
[2024-12-27T11:38:58.615+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 4
[2024-12-27T11:38:58.617+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 4
[2024-12-27T11:38:58.619+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 4
[2024-12-27T11:38:58.623+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 4
[2024-12-27T11:38:58.624+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 4
[2024-12-27T11:38:58.625+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 4
[2024-12-27T11:38:58.627+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 4
[2024-12-27T11:38:58.629+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 4
[2024-12-27T11:38:58.631+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 4
[2024-12-27T11:38:58.634+0000] {parse.py:68} INFO - Row number: 5 in collection page
[2024-12-27T11:38:58.635+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 5
[2024-12-27T11:38:58.640+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 5
[2024-12-27T11:38:58.642+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 5
[2024-12-27T11:38:58.643+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 5
[2024-12-27T11:38:58.645+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 5
[2024-12-27T11:38:58.647+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 5
[2024-12-27T11:38:58.649+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 5
[2024-12-27T11:38:58.651+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 5
[2024-12-27T11:38:58.652+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 5
[2024-12-27T11:38:58.656+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 5
[2024-12-27T11:38:58.658+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 5
[2024-12-27T11:38:58.659+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 5
[2024-12-27T11:38:58.662+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 5
[2024-12-27T11:38:58.664+0000] {parse.py:68} INFO - Row number: 6 in collection page
[2024-12-27T11:38:58.666+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 6
[2024-12-27T11:38:58.667+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 6
[2024-12-27T11:38:58.669+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 6
[2024-12-27T11:38:58.673+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 6
[2024-12-27T11:38:58.674+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 6
[2024-12-27T11:38:58.675+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 6
[2024-12-27T11:38:58.678+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 6
[2024-12-27T11:38:58.680+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 6
[2024-12-27T11:38:58.681+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 6
[2024-12-27T11:38:58.683+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 6
[2024-12-27T11:38:58.686+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 6
[2024-12-27T11:38:58.689+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 6
[2024-12-27T11:38:58.690+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 6
[2024-12-27T11:38:58.692+0000] {parse.py:68} INFO - Row number: 7 in collection page
[2024-12-27T11:38:58.694+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 7
[2024-12-27T11:38:58.696+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 7
[2024-12-27T11:38:58.698+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 7
[2024-12-27T11:38:58.700+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 7
[2024-12-27T11:38:58.702+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 7
[2024-12-27T11:38:58.705+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 7
[2024-12-27T11:38:58.706+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 7
[2024-12-27T11:38:58.709+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 7
[2024-12-27T11:38:58.711+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 7
[2024-12-27T11:38:58.713+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 7
[2024-12-27T11:38:58.715+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 7
[2024-12-27T11:38:58.717+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 7
[2024-12-27T11:38:58.721+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 7
[2024-12-27T11:38:58.723+0000] {parse.py:68} INFO - Row number: 8 in collection page
[2024-12-27T11:38:58.726+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 8
[2024-12-27T11:38:58.728+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 8
[2024-12-27T11:38:58.730+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 8
[2024-12-27T11:38:58.732+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 8
[2024-12-27T11:38:58.735+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 8
[2024-12-27T11:38:58.738+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 8
[2024-12-27T11:38:58.739+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 8
[2024-12-27T11:38:58.742+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 8
[2024-12-27T11:38:58.743+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 8
[2024-12-27T11:38:58.745+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 8
[2024-12-27T11:38:58.747+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 8
[2024-12-27T11:38:58.749+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 8
[2024-12-27T11:38:58.752+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 8
[2024-12-27T11:38:58.753+0000] {parse.py:68} INFO - Row number: 9 in collection page
[2024-12-27T11:38:58.757+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 9
[2024-12-27T11:38:58.759+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 9
