[2024-12-29T04:23:24.336+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-29T04:23:24.399+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page scheduled__2024-12-28T00:00:00+00:00 [queued]>
[2024-12-29T04:23:24.647+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page scheduled__2024-12-28T00:00:00+00:00 [queued]>
[2024-12-29T04:23:25.292+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 4
[2024-12-29T04:23:25.294+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 4
[2024-12-29T04:23:25.295+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 4
[2024-12-29T04:23:25.296+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 4
[2024-12-29T04:23:25.299+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 4
[2024-12-29T04:23:25.301+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 4
[2024-12-29T04:23:25.302+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 4
[2024-12-29T04:23:25.304+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 4
[2024-12-29T04:23:25.305+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 4
[2024-12-29T04:23:25.307+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 4
[2024-12-29T04:23:25.308+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 4
[2024-12-29T04:23:25.309+0000] {parse.py:68} INFO - Row number: 5 in collection page
[2024-12-29T04:23:25.311+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 5
[2024-12-29T04:23:25.312+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 5
[2024-12-29T04:23:25.314+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 5
[2024-12-29T04:23:25.315+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 5
[2024-12-29T04:23:25.317+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 5
[2024-12-29T04:23:25.318+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 5
[2024-12-29T04:23:25.319+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 5
